Erasmus ID,ETER ID,FP7 ID,GRID_ID,Scimago id_2018,Leiden_ID,University,Country_code,City,Region,NUTS3,Latitude,Longitude,Overall,Research,Innovation,Societal,2013 Ranking,POI_count,POI_scaled,ETS_AGGR EVC,ETS_CENT_RANK,ETT_AGGR_EVC,ETT_CENT_RANK,FP7_AGGR_EVC,FP7_RANK,AGG_EVC,AGG_RANK,ETER ID YEAR,NAT,Personnel expenditure (EURO),Total graduates at ISCED 8,R&D Expenditure (EURO),Share of mobile PhD students,Share of mobile PhD graduates,PhD intensity,Total academic staff (FTE),Total number of full professors,Inclusion of PhD students,Total staff (FTE),staff_scaled,Erasmus incoming students,Erasmus outgoing students,impact_P,collab_P,TCS,TNCS,P_top1,P_top10,P_top50,P_collab,P_int_collab,P_industry_collab,P_short_dist_collab,P_long_dist_collab,MCS,MCS_lb,MCS_ub,MNCS,MNCS_lb,MNCS_ub,PP_top1,PP_top1_lb,PP_top1_ub,PP_top10,PP_top10_lb,PP_top10_ub,PP_top50,PP_top50_lb,PP_top50_ub,PP_collab,PP_collab_lb,PP_collab_ub,PP_int_collab,PP_int_collab_lb,PP_int_collab_ub,PP_industry_collab,PP_industry_collab_lb,PP_industry_collab_ub,PP_short_dist_collab,PP_short_dist_collab_lb,PP_short_dist_collab_ub,PP_long_dist_collab,PP_long_dist_collab_lb,PP_long_dist_collab_ub,Erasmus incoming teachers,Erasmus outgoing teachers,SCIMAGO_2018_SOC,Label,Number of projects,Location,Country,Act_type,EU member = 1,homophily (domestic/all links),Sum of EC contribution
B  BRUSSEL01,BE0061,999902094,"GRID,8767,E,OR",389,866,Vrije Universiteit Brussel,BE,Brussels,Western Europe,BE100,50.821658,4.394886,12,9,18,10,364,21,0.21,0.10949504,183,0.042272931,149,0,221,0.112272804,183,BE0061.2013,BE,143878387.1,188,NA,0.339317774,0.383783784,0.064782908,1783.58,56,0,2694.93,0.255533444,176,147,2595.98281,6093,13424.7012,2638.888521,27.00473927,287.8587612,1336.351121,5154,3579,354,1431,1640,5.17133671,4.873179023,5.452537297,1.016527733,0.966508103,1.069503594,0.010402511,0.00742298,0.013436219,0.110886236,0.100983333,0.120796222,0.514776568,0.49859819,0.530137098,0.845888725,0.836861973,0.855243722,0.587395372,0.574101428,0.599212211,0.058099458,0.052191039,0.064007878,0.234859675,0.224684064,0.2458559,0.269161333,0.256688003,0.279993435,12,19,12,VRIJE UNIVERSITEIT BRUSSEL,125,"BRUSSEL, BE",BE,HES,1,6.96E-02,57889571.89
B  GENT01,BE0060,999986096,"GRID,5342,0,NL",129,157,Ghent University,BE,Ghent,Western Europe,BE234,51.0465619,3.7279181,3,2,10,6,117,100,1,0.49937728,22,0.116699623,44,0.741131731,8,0.498911991,19,BE0060.2013,BE,348707595,572,NA,0.316514891,0.281415929,0.054585361,5364.82,156,0,7644.13,0.768617574,690,920,9639.16049,18708,57482.13159,11192.84296,129.7829973,1186.920826,5418.653253,14511,10957,1163,3542,4999,5.96339605,5.741329238,6.202523311,1.161184418,1.127880546,1.195260875,0.013464139,0.011654686,0.015407619,0.12313529,0.117681079,0.128752799,0.562149915,0.553952737,0.57073728,0.775657473,0.76951037,0.781751123,0.585685268,0.577613855,0.592527261,0.062165918,0.058851828,0.065480009,0.189330768,0.183771648,0.194996793,0.267211888,0.260530254,0.273252085,64,89,3,UNIVERSITEIT GENT,291,"GENT, BE",BE,HES,1,0.102827763,139253190.3
B  LEUVEN01,BE0056,999991334,"GRID,5596,F,NL",74,243,Katholieke Universiteit Leuven,BE,Leuven,Western Europe,BE242,50.8779545,4.7002953,2,1,5,4,56,100,1,0.669633192,8,0.17515369,28,0,221,0.637770757,8,BE0056.2013,BE,487700290,669,NA,0.399494601,0.417040359,0.046743991,6979.83,391,0,10197.75,1,1041,1123,10384.40429,21562,70363.19834,12800.95742,147.4785908,1433.626854,6059.642245,17295,13751,1683,3862,6442,6.775853132,6.545176472,7.050980849,1.232709846,1.204075853,1.262228504,0.014201931,0.012566317,0.015869517,0.138055763,0.132270092,0.143679285,0.583532967,0.575798149,0.590828345,0.802105556,0.796772099,0.807299879,0.637742324,0.631017531,0.644513496,0.078053984,0.074529264,0.081671459,0.1791114,0.173731565,0.184027456,0.298766348,0.293108246,0.304934607,38,73,2,KATHOLIEKE UNIVERSITEIT LEUVEN,598,"LEUVEN, BE",BE,HES,1,8.71E-02,302055632.6
CH BASEL01,CH0001,999907914,"GRID,6612,3,DE",305,581,University of Basel,CH,Basel,Western Europe,CH031,47.5607409,7.5826941,8,6,12,10,310,79,0.79,0.060189041,220,0.029943907,174,0.309150669,55,0.069001302,220,CH0001.2013,CH,319443172,429,243694452.9,0.440728354,0.414918415,0.156341108,2470.57,365,0,3466.34,0.353958477,62,109,4369.764529,9635,37901.57803,5688.676232,72.00086749,654.9136474,2647.387335,7911,6538,766,1228,3264,8.673597348,8.251704028,9.121746695,1.301826722,1.255045661,1.348326799,0.016477059,0.013710462,0.019465213,0.149873899,0.141202413,0.158499949,0.605842104,0.594008019,0.617585113,0.821069019,0.813284899,0.828749351,0.678567722,0.669849507,0.688427608,0.079501816,0.074416191,0.085106383,0.127451998,0.120394395,0.134094447,0.33876492,0.330150493,0.348105864,6,13,8,UNIVERSITAET BASEL,147,"BASEL, CH",CH,HES,0,0.132352941,109637405.9
CH BERN01,CH0002,999976493,"GRID,5734,5,DE",312,586,University of Bern,CH,Bern,Western Europe,CH021,46.9504896,7.438119,8,4,27,7,289,100,1,0.113824498,182,0.059246278,112,0.364505295,44,0.124123967,174,CH0002.2013,CH,398049870.8,524,360013929,0.364187551,0.326335878,0.158932363,2308.58,412,0,3953.37,0.330750176,128,205,4859.248956,10958,31271.39238,5666.541759,58.37313785,630.7455811,2762.734158,9012,7162,604,1557,3391,6.435437382,6.186861225,6.726152511,1.166135304,1.129597218,1.205383245,0.01201279,0.009870968,0.014270744,0.129803101,0.122189712,0.137707355,0.56855168,0.557977416,0.579802209,0.822412849,0.814929732,0.829348421,0.653586421,0.645281986,0.662255886,0.055119547,0.051104216,0.059408651,0.142087972,0.135791203,0.148384742,0.30945428,0.301058587,0.318580033,23,17,8,UNIVERSITAET BERN,142,"BERN, CH",CH,HES,0,0.1125,73715069.44
CH GENEVE01,CH0004,999974650,"GRID,8591,5,FR",466,646,University of Geneva,CH,Geneva,Western Europe,CH021,46.199444,6.1451157,8,5,22,5,278,100,1,0.206261265,103,0.026532276,183,0,221,0.193161491,117,CH0004.2013,CH,493678130.1,351,359395432.5,0.615450277,0.641025641,0.086261981,2982.29,584,0,4605.65,0.427272584,289,213,4760.054768,10848,39095.65933,6175.204831,66.24546142,683.8972037,2832.528146,8803,7325,579,1237,3772,8.213279308,7.827551405,8.658551223,1.297297013,1.250177983,1.350172272,0.013916954,0.011285885,0.016494752,0.14367423,0.135716612,0.151530955,0.595062091,0.583185799,0.60640567,0.811485988,0.805125369,0.818768437,0.675239676,0.666851032,0.684181416,0.053373894,0.049317847,0.057245575,0.114030236,0.108038348,0.119929941,0.347713864,0.338495575,0.356747788,13,23,8,UNIVERSITE DE GENEVE,275,"GENEVE, CH",CH,HES,0,9.59E-02,189409717
CH LAUSANN06,CH0011,999973971,"GRID,5333,6",100,120,Ecole Polytechnique Federale de Lausanne,CH,Lausanne,Western Europe,CH011,46.5190557,6.5667576,2,2,5,3,80,10,0.1,0.192979372,117,0.007480771,228,1,1,0.191168391,119,CH0011.2013,CH,459174741.3,414,357061969,0.789551503,0.707729469,0.238341969,3560.43,316,0,5048.6,0.510102682,380,182,5420.505101,11219,66363.30557,8944.49496,134.2268134,1037.534349,3561.627211,8755,7363,808,858,3688,12.24301137,10.85243927,13.96520651,1.650122045,1.5703134,1.737151835,0.024762787,0.021495578,0.028302895,0.191409164,0.182746641,0.200758529,0.657065558,0.645932605,0.667026295,0.780372582,0.772885284,0.787859881,0.656297353,0.647562171,0.6649434,0.072020679,0.067385685,0.077279615,0.076477404,0.071575007,0.081112399,0.328728051,0.320616811,0.337195829,11,19,2,ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,600,"LAUSANNE, CH",CH,HES,0,8.01E-02,430951428.3
CH ZURICH01,CH0009,999976396,"GRID,7400,3,DE",189,855,University of Zurich,CH,ZÜRICH,Western Europe,CH040,47.3743221,8.5509812,4,3,11,6,149,67,0.67,0.146444214,150,0.080942605,76,0.47312947,29,0.160962687,147,CH0009.2013,CH,643696880.8,760,507521512.5,0.372851476,0.325,0.151696607,3915.72,570,0,6183.11,0.561005067,184,260,7302.755372,15977,55959.40547,9189.200216,113.275147,1030.858563,4230.083668,12965,10490,910,2296,5144,7.662779679,7.357836895,8.000903012,1.2583196,1.222824496,1.297754901,0.015511289,0.013324866,0.017740231,0.141160221,0.134772534,0.147671324,0.579244881,0.57066529,0.588546549,0.811479001,0.805282594,0.816924329,0.656568818,0.649308381,0.663203355,0.056956876,0.053264067,0.060399324,0.143706578,0.138136071,0.149089316,0.321962822,0.315203104,0.329035489,18,27,4,UNIVERSITAET ZUERICH,284,"ZURICH, CH",CH,HES,0,9.57E-02,196850517.7
CH ZURICH07,CH0012,18,"GRID,5801,C",NA,129,ETH Zurich,CH,Zürich,Western Europe,CH040,47.376313,8.5476699,55,60,50,25,628,100,1,0.144549885,152,0.005570215,233,0,221,0.1268855,172,CH0012.2013,CH,778973139.5,579,556379030.9,0.66975547,0.623488774,0.160254636,5443.58,474,0,7929.57,0.779901516,222,138,8849.274341,18304,75290.7713,13078.28654,183.0934091,1540.093813,5674.820582,14423,11703,1328,2272,5846,8.508129413,8.226462095,8.83248892,1.477893671,1.443703931,1.518865051,0.020690217,0.018308459,0.023260093,0.17403617,0.167899163,0.180684733,0.641275246,0.633561792,0.649152271,0.787969843,0.782288024,0.79419799,0.639368444,0.632320804,0.646252185,0.072552448,0.068892045,0.076376748,0.124125874,0.119427448,0.128933566,0.319383741,0.312773164,0.326267483,0,4,55,EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZURICH,1,"ZUERICH, CH",CH,HES,0,NA,294796
CZ BRNO05,CZ0007,999880657,"GRID,10267,32,AL",540,292,"Masaryk University, Brno",CZ,Brno,Eastern Europe,CZ064,49.1986299,16.605384,26,16,45,9,587,100,1,0.326430126,53,0.654356468,3,0,221,0.407568578,34,CZ0007.2013,CZ,120447609.7,340,NA,NA,NA,0.038240918,1180.499,241,0,2296.377,0.16913005,415,1109,1686.901332,3667,6685.880116,1356.46476,9.569328487,117.9551807,718.3999225,3008,1841,148,718,767,3.963409115,3.618143309,4.321574587,0.804116242,0.751523969,0.863039246,0.005672726,0.003389216,0.008187843,0.069924173,0.060923491,0.078377053,0.425869557,0.408011927,0.443651649,0.820289065,0.807472048,0.832833379,0.502045269,0.48568312,0.518952822,0.040359967,0.03408781,0.046904827,0.195800382,0.18243796,0.208344696,0.209162803,0.196345787,0.222797927,213,142,26,Masarykova univerzita,63,"BRNO STRED, CZ",CZ,HES,1,0,18743860.27
CZ OLOMOUC01,CZ0015,999649506,"GRID,10979,36,OR",555,385,Palacký University Olomouc,CZ,Olomouc,Eastern Europe,CZ071,49.5954268,17.2600152,NA,NA,NA,NA,NA,100,1,0.165809762,139,0.423854532,8,0.007382961,215,0.209966047,102,CZ0015.2013,CZ,73114379.91,155,NA,NA,NA,0.033013845,783.45,117,0,1422.912,0.112244854,230,543,1302.210885,2949,5908.630397,1018.035999,6.589171105,93.54372357,558.5374043,2322,1661,119,356,925,4.537383663,4.056832121,5.120489381,0.781775064,0.727323823,0.842417592,0.005059988,0.002550588,0.008526632,0.071834543,0.060511146,0.08321488,0.42891471,0.407023152,0.453146545,0.787385554,0.772126144,0.801966768,0.563241777,0.544930485,0.580874873,0.040352662,0.033570702,0.04747372,0.120718888,0.109189556,0.133265514,0.313665649,0.296032553,0.330620549,141,98,NA,UNIVERZITA PALACKEHO V OLOMOUCI,10,"OLOMOUC, CZ",CZ,HES,1,0,1536790.4
CZ PRAHA07,CZ0014,999923434,"GRID,4491,8,AL",362,65,"Charles University, Prague",CZ,Prague,Eastern Europe,CZ010,50.0867111,14.435404,11,6,31,6,NA,100,1,0.737800754,5,0.638639045,4,0.182237314,88,0.781238127,5,CZ0014.2013,CZ,187821832.9,660,NA,NA,NA,0.081360947,3900.332,664,0,6836.983,0.558800429,1353,1185,5066.302748,11628,17921.30757,3716.240146,24.27064573,291.995104,2078.820575,9650,6541,556,2382,3358,3.537354253,3.40409412,3.665122663,0.733521136,0.70744642,0.758266964,0.004790603,0.003590727,0.006186777,0.057634752,0.053054919,0.062718848,0.410323006,0.399602865,0.420824276,0.829893361,0.823271414,0.837031304,0.5625215,0.553577571,0.571637427,0.047815617,0.044117647,0.051771586,0.204850361,0.197110423,0.212160303,0.28878569,0.280271758,0.29747162,173,207,11,UNIVERZITA KARLOVA,119,"PRAHA 1, CZ",CZ,HES,1,1.39E-02,21251718.24
CZ PRAHA10,CZ0004,999848744,"GRID,6652,7,OR",558,101,"Czech Technical University, Prague",CZ,Prague,Eastern Europe,CZ010,50.1030364,14.3912841,29,15,61,9,554,64,0.64,0.19053133,119,0.059437682,110,0,221,0.180153244,127,CZ0004.2013,CZ,92991428.41,178,NA,NA,NA,0.036769263,1429.283,226,0,2550.961,0.204773325,488,279,1147.78747,2897,2440.707752,784.1288806,4.042829849,67.53523679,433.2864318,2292,1672,129,516,1013,2.126445719,1.908025983,2.384309522,0.683165569,0.617382717,0.750374993,0.003522281,0.001620673,0.005706882,0.058839496,0.048008302,0.069612812,0.377497092,0.354492297,0.399021081,0.791163272,0.777010701,0.806006213,0.577148775,0.559199172,0.594408008,0.044528823,0.03693476,0.052122886,0.178115292,0.164998274,0.193303417,0.349672075,0.333448395,0.366586124,24,70,29,CESKE VYSOKE UCENI TECHNICKE V PRAZE,90,"PRAHA, CZ",CZ,HES,1,2.86E-02,18387133.88
D  AACHEN01,DE0069,999983962,"GRID,1957,a",221,422,RWTH Aachen University,DE,Aachen,Western Europe,DEA2D,50.7800778,6.0656869,5,4,12,5,167,12,0.12,0,243,0,243,0.49155065,25,0.011729364,247,DE0069.2013,DE,718492776,805,NA,0.177647853,0,0.122844499,5545,479,0,12769,0.794431956,401,526,5158.646065,10258,35178.5877,5740.776382,71.92097377,591.2470724,2776.766832,7828,5213,803,1193,2726,6.819345087,6.472458133,7.181124128,1.112845563,1.070597564,1.158222154,0.013941831,0.011594731,0.016589164,0.114612839,0.107411134,0.121523844,0.538274345,0.527466288,0.550075089,0.763111718,0.755020472,0.771495418,0.508188731,0.499512576,0.518034705,0.078280367,0.073211152,0.083447066,0.116299474,0.109962956,0.122246052,0.26574381,0.257945019,0.27432248,7,20,5,RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN,238,"AACHEN, DE",DE,HES,1,0.239215686,103067760.3
D  BAYREUT01,DE0018,999849908,"GRID,7384,8,DE",522,583,University of Bayreuth,DE,Bayreuth,Western Europe,DE242,49.9288196,11.585831,23,16,33,14,434,6,0.06,0.070561797,210,0.031555455,171,0.1721702,96,0.078085125,210,DE0018.2013,DE,117528701,164,NA,0.33820841,0.377777778,0.084059457,1199,226,0,1907,0.171780688,96,245,1598.918581,2999,9548.183183,1722.049058,18.54882293,183.4928949,876.020948,2297,1614,152,40,787,5.971650651,5.555226699,6.395037599,1.077008597,1.016626188,1.143986971,0.011600855,0.00770984,0.015938508,0.114760625,0.102049811,0.127333972,0.5478834,0.528367474,0.569801164,0.765921974,0.749916639,0.779593198,0.538179393,0.520173391,0.555851951,0.050683561,0.042347449,0.058686229,0.013337779,0.00966989,0.017672558,0.262420807,0.246748916,0.278426142,14,17,23,UNIVERSITAET BAYREUTH,35,"BAYREUTH, DE",DE,HES,1,0.327868852,19935249.28
D  BERLIN01,DE0028,999994826,"GRID,14095,39,EN",350,142,Freie Universität Berlin,DE,Berlin,Western Europe,DE300,52.4525264,13.2896787,10,7,20,4,345,25,0.25,0.561773606,12,0.188409645,24,0,221,0.546734298,14,DE0028.2013,DE,263761335,740,NA,0.297977528,0.244147157,0.15220074,2422,524,0,4469,0.346999855,930,623,5087.4561,16281,33959.99967,5558.465371,56.05710336,575.6807749,2786.692094,15229,8378,1452,1757,4273,6.675241812,6.44437505,6.91403605,1.092582474,1.063871953,1.125449606,0.01101869,0.009178116,0.013134561,0.113156903,0.107562456,0.119154996,0.547757472,0.538339498,0.557827547,0.935384804,0.931515263,0.939438609,0.514587556,0.505804312,0.522449481,0.089183711,0.085007063,0.093360359,0.107917204,0.103064922,0.112585222,0.262453166,0.255573982,0.269516614,37,75,10,FREIE UNIVERSITAET BERLIN,119,"BERLIN, DE",DE,HES,1,0.157407407,57278651.9
